City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Podor,MR,2020-01-05 14:22:38,16.65,-14.96,84.74,7,0,15.61
165,Vila Franca Do Campo,PT,2020-01-05 14:22:38,37.72,-25.43,64.4,88,20,14.99
166,Fort Saint James,CA,2020-01-05 14:22:38,54.43,-124.25,22.3,82,100,8.81
167,Kimberley,ZA,2020-01-05 14:22:38,-28.74,24.76,95.0,24,67,5.82
168,Savannah Bight,HN,2020-01-05 14:22:39,16.45,-85.85,79.02,81,0,18.84
169,Georgetown,GY,2020-01-05 14:21:05,6.8,-58.16,84.2,69,40,9.17
170,Fortuna,US,2020-01-05 14:22:39,40.6,-124.16,46.99,87,90,13.87
171,Bouillante,FR,2020-01-05 14:22:39,48.53,-1.73,50.0,70,90,8.05
172,Severo-Kurilsk,RU,2020-01-05 14:22:40,50.68,156.12,19.02,91,100,7.65
173,Coahuayana,MX,2020-01-05 14:22:40,18.62,-100.35,71.6,47,100,1.01
174,Atar,MR,2020-01-05 14:22:40,20.52,-13.05,76.91,10,32,16.67
175,Faanui,PF,2020-01-05 14:22:40,-16.48,-151.75,80.73,77,0,10.98
176,Leningradskiy,RU,2020-01-05 14:22:40,69.38,178.42,-11.09,52,0,1.99
177,Beaune,FR,2020-01-05 14:22:41,47.02,4.84,46.4,61,0,11.41
178,Yevpatoriya,UA,2020-01-05 14:22:41,45.19,33.37,45.0,75,100,8.55
179,College,US,2020-01-05 14:22:41,64.86,-147.8,-18.0,65,100,1.16
180,Ribeira Grande,PT,2020-01-05 14:22:42,38.52,-28.7,64.4,93,40,17.22
181,Abapo,BO,2020-01-05 14:22:42,-18.83,-63.47,93.29,30,100,4.61
182,Berlevag,NO,2020-01-05 14:22:42,70.86,29.09,28.92,72,100,14.56
183,Kloulklubed,PW,2020-01-05 14:22:42,7.04,134.26,78.8,94,90,8.05
184,Fethiye,TR,2020-01-05 14:22:42,36.62,29.12,57.2,54,75,2.24
185,Lamu,CN,2020-01-05 14:22:43,35.77,102.37,18.63,48,98,3.71
186,Talnakh,RU,2020-01-05 14:22:43,69.49,88.39,19.4,92,90,29.08
187,Upernavik,GL,2020-01-05 14:22:43,72.79,-56.15,-31.88,90,100,11.52
